Edad,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
10,718384,740049,760427,781850,806733,830617,852304,874146,895790,916985,937189,963294,1001320,1047706,1102762,1158725,1207606,1254398,1304571,1358619,1413608,1467188,1518949,1570990,1623026,1671381,1716401,1763197,1813450,1865074,1917393,1969679,2018728,2061886,2095228,2114941,2119434,2114259,2109947,2111576,2119365,2132363,2150508,2171719,2193524,2213346,2228672,2242405,2257218,2274155,2297019,2323234,2340379,2343278,2335699,2321641,2306093,2297107,2302127,2320185,2336000,2335196,2318696,2297987,2283636,2277054,2277323,2283403,2290998,2292896,2283270,2261801,2233252,2207640,2188614,2167516,2134453,2099091,2083590,2077286,2067687,2059624,2039073,2012466,1991883,1970398,1948380,1926150,1903964,1882002,1860199,1838296,1816126,1793971,1772204,1750840,1729781,1708921,1688238,1667876,1647870,1628298,1609223,1590468,1571843,1553293,1534916,1516842,1498971,1481066,1463096,1445239,1427704,1410474,1393333,1376238,1359325,1342756,1326538,1310488,1294525
11,694167,715339,736883,757266,778761,803725,827624,849283,870997,892617,913817,934062,960151,998076,1044348,1099240,1154949,1203603,1250087,1299891,1353594,1408281,1461597,1513181,1565233,1617210,1665363,1710067,1756791,1807088,1858645,1910839,1962982,2011928,2054903,2087886,2107203,2111310,2105800,2101249,2102695,2110416,2123448,2141683,2163087,2185014,2204713,2219616,2232663,2246547,2263528,2287929,2315565,2333505,2336861,2330481,2318624,2305222,2296977,2301640,2319369,2334832,2333097,2315984,2294795,2279466,2272603,2273346,2280230,2288199,2290304,2281011,2259749,2231340,2205801,2186751,2165573,2132430,2096999,2081439,2075101,2065506,2057476,2036996,2010486,1990006,1968624,1946697,1924533,1902380,1880421,1858599,1836668,1814474,1792306,1770540,1749195,1728171,1707359,1686735,1666434,1646488,1626966,1607926,1589189,1570568,1552013,1533626,1515545,1497672,1479775,1461822,1443992,1426490,1409298,1392195,1375134,1358251,1341702,1325496,1309451
12,671725,691351,712406,733944,754382,775947,800913,824762,846307,867990,889603,910831,931077,957106,994946,1041078,1095721,1151175,1199529,1245677,1295164,1348567,1402974,1456087,1507631,1559603,1611375,1659203,1703822,1750590,1800810,1852222,1904261,1956289,2005031,2047610,2080127,2099000,2102734,2096992,2092281,2093678,2101436,2114580,2133034,2154563,2176360,2195633,2209892,2222095,2236111,2254651,2280480,2308877,2327226,2331713,2327445,2317660,2304978,2296372,2300692,2318057,2332591,2330259,2312682,2290551,2274962,2268552,2270089,2277366,2285524,2287932,2278858,2257777,2229475,2203942,2184826,2163561,2130342,2094865,2079273,2072929,2063364,2055389,2034999,2008598,1988220,1966927,1945066,1922938,1900790,1878815,1856968,1835014,1812809,1790644,1768900,1747591,1726618,1705866,1685305,1665066,1645170,1625684,1606664,1587931,1569304,1550740,1532346,1514264,1496400,1478520,1460593,1442797,1425333,1408178,1391112,1374082,1357218,1340683,1324483
13,650989,668889,688390,709421,730982,751465,773024,797914,821642,843148,864815,886444,907666,927869,953841,991542,1037420,1091767,1146867,1194851,1240655,1289819,1342905,1397047,1450042,1501475,1553210,1604613,1652299,1696942,1743619,1793653,1844859,1896748,1948531,1996802,2038800,2070742,2089105,2092530,2086606,2081831,2083231,2091147,2104582,2123205,2144616,2165969,2184619,2198144,2210725,2226636,2246887,2273570,2302311,2321715,2328289,2326106,2317080,2304067,2295117,2299077,2315534,2329496,2326706,2308193,2285811,2270676,2265068,2267028,2274479,2282937,2285587,2276725,2255782,2227517,2201941,2182742,2161387,2128112,2092618,2077025,2070705,2061196,2053299,2033011,2006716,1986424,1965196,1943371,1921251,1899091,1877096,1855233,1833272,1811075,1788937,1767234,1745979,1725069,1704382,1683882,1663695,1643836,1624371,1605356,1586620,1567986,1549417,1531025,1512952,1495106,1477254,1459362,1441604,1424180,1407062,1390027,1373019,1356170,1339644
14,631360,647755,665490,684917,705916,727467,747904,769355,794096,817753,839226,860897,882513,903678,923812,949619,986999,1032484,1086342,1140900,1188390,1233737,1282466,1335171,1389071,1441817,1492885,1544121,1595260,1642887,1687379,1733773,1783480,1834431,1885961,1937086,1984505,2025611,2056758,2074594,2077708,2071629,2066778,2068353,2076632,2090227,2108596,2129298,2149997,2168253,2183088,2198941,2217645,2239150,2266004,2295626,2317083,2325836,2324594,2315420,2302148,2292924,2296063,2311998,2325514,2321745,2302981,2281073,2266802,2261658,2263743,2271497,2280251,2283137,2274446,2253560,2225267,2199615,2180317,2158884,2125584,2090111,2074556,2068295,2058871,2051065,2030878,2004673,1984441,1963246,1941429,1919302,1897130,1875126,1853265,1831323,1809161,1787072,1765429,1744243,1723401,1702777,1682331,1662180,1642345,1622888,1603872,1585133,1566499,1547935,1529555,1511505,1493689,1475874,1458023,1440308,1422921,1405837,1388827,1371838,1355001
15,612761,627494,643663,661257,680592,701523,722961,743236,764518,789147,812737,834199,855848,877385,898430,918339,943753,980610,1025462,1078568,1132353,1179158,1223929,1272153,1324452,1377918,1430098,1480476,1531292,1582233,1629592,1673665,1719563,1768857,1819287,1869918,1919829,1965936,2005852,2036144,2053410,2056147,2049870,2045162,2047080,2055373,2068381,2085492,2105311,2125871,2146638,2166809,2187079,2207550,2228896,2256394,2288196,2312184,2322359,2321411,2312243,2298942,2289118,2291879,2307405,2319866,2315819,2297567,2276608,2262846,2257779,2260139,2268187,2277137,2280171,2271526,2250615,2222270,2196546,2177185,2155728,2122462,2087062,2071582,2065400,2056065,2048342,2028237,2002099,1981902,1960721,1938907,1916778,1894610,1872623,1850791,1828896,1806795,1784778,1763211,1742100,1721327,1700761,1680358,1660234,1640413,1620962,1601951,1583217,1564595,1546050,1527700,1509686,1491913,1474144,1456340,1438668,1421320,1404267,1387281,1370310
16,595006,608270,622727,638698,656152,675376,696141,717355,737435,758594,783120,806667,828096,849644,871014,891747,911196,936031,972151,1016133,1068266,1121121,1167173,1211335,1259039,1310758,1363474,1414785,1464598,1515113,1565662,1612421,1655855,1701235,1749867,1799175,1848278,1896479,1941012,1979734,2009133,2025698,2027970,2021718,2017256,2018990,2026307,2037472,2053227,2072608,2096339,2124128,2150040,2172411,2192293,2214124,2244365,2279536,2305785,2316929,2316404,2307585,2293969,2283946,2286382,2300799,2312971,2309507,2292316,2271928,2258143,2253262,2255899,2264083,2273130,2276169,2267483,2246536,2218156,2192408,2173046,2151627,2118452,2083172,2067785,2061685,2052430,2044766,2024723,1998636,1978460,1957293,1935492,1913383,1891247,1869307,1847537,1825717,1803700,1781773,1760293,1739261,1718555,1698041,1677672,1657572,1637765,1618329,1599331,1580619,1562026,1543519,1525215,1507252,1489534,1471821,1454070,1436445,1419138,1402117,1385157
17,577711,590051,603012,617240,633050,650376,669408,689914,710897,730840,751902,776358,799840,821154,842503,863505,883705,902544,926654,961874,1004848,1055928,1107858,1153200,1196795,1243869,1294750,1346473,1397106,1446552,1496594,1546414,1592404,1635251,1679913,1727277,1774844,1821988,1868357,1911441,1949005,1977377,1993143,1995168,1988963,1984151,1984627,1989652,1998914,2013538,2036046,2067670,2101826,2129831,2151156,2171421,2196823,2231568,2269982,2297896,2309887,2310095,2301228,2287582,2277336,2278629,2292769,2305612,2303332,2286752,2266257,2252586,2247975,2250706,2258937,2267943,2270910,2262180,2241212,2212850,2187146,2167838,2146505,2113462,2078327,2063041,2057009,2047816,2040191,2020194,1994151,1974000,1952858,1931090,1909027,1886954,1865091,1843413,1821692,1799782,1777956,1756570,1735616,1714971,1694500,1674163,1654087,1634303,1614889,1595923,1577250,1558705,1540255,1522015,1504117,1486466,1468815,1451122,1433547,1416283,1399297
18,560860,572563,584601,597341,611420,627112,644249,663024,683298,704122,723963,744970,769342,792685,813790,834757,855214,874782,892937,916253,950539,992546,1042696,1093818,1138555,1181546,1227815,1277710,1328711,1378930,1427891,1477172,1526141,1571482,1613608,1657000,1702578,1748141,1793396,1838229,1880032,1916381,1943725,1958900,1960639,1953930,1947742,1945767,1948427,1955732,1972889,2003219,2041033,2076910,2103426,2125063,2149647,2180603,2219495,2260148,2289171,2302149,2302496,2293703,2279867,2268397,2269446,2284357,2298468,2296784,2280030,2259606,2246217,2241694,2244442,2252599,2261498,2264395,2255630,2234687,2206403,2180791,2161580,2140365,2107481,2072508,2057319,2051342,2042192,2034586,2014628,1988632,1968512,1947413,1925703,1903716,1881735,1859980,1838419,1816821,1795029,1773313,1752019,1731137,1710546,1690114,1669808,1649760,1630007,1610633,1591715,1573099,1554623,1536249,1518087,1500269,1482693,1465111,1447477,1429956,1412735
19,543916,555741,567166,579013,591638,605628,621151,638055,656620,676741,697446,717234,738183,762409,785531,806273,826726,846584,865493,882959,905522,938992,980219,1029623,1080082,1124229,1166520,1211913,1261125,1311703,1361422,1409652,1458125,1506429,1551038,1591961,1633669,1677340,1721097,1764885,1808460,1849029,1884266,1910784,1925332,1926337,1918230,1909664,1905072,1905077,1914134,1938460,1974365,2013438,2047472,2074195,2100589,2131369,2167087,2208594,2250420,2280476,2293611,2294013,2284964,2269759,2258023,2259950,2276234,2290917,2288953,2272198,2252109,2238865,2234366,2237035,2245067,2253864,2256684,2247911,2227035,2198868,2173390,2154306,2133230,2100524,2065726,2050628,2044691,2035566,2027963,2008039,1982098,1962022,1940986,1919362,1897483,1875625,1854005,1832586,1811125,1789461,1767854,1746645,1725825,1705278,1684881,1664607,1644597,1624889,1605572,1586723,1568187,1549798,1531518,1513450,1495721,1478224,1460714,1443141,1425671
