ENTIDAD,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
Guanajuato,1094417,1118979,1145535,1173562,1202963,1233730,1265668,1299078,1334037,1370350,1413058,1466940,1527589,1590667,1655971,1723369,1792951,1864820,1938734,2014877,2085731,2148159,2208727,2268885,2327956,2385041,2440024,2493218,2544103,2592270,2642192,2697615,2756523,2817017,2877696,2943478,3026737,3125125,3228745,3335989,3439613,3534173,3622981,3709697,3793296,3870626,3943050,4015672,4090258,4164527,4228209,4279711,4340361,4412139,4482997,4552927,4621760,4689224,4754871,4818412,4879815,4939377,4997711,5055120,5111318,5166275,5220896,5275508,5329103,5380847,5429662,5474936,5516961,5555911,5592047,5625648,5656923,5686033,5713202,5738559,5762186,5784128,5804370,5822829,5839430,5854087,5866771,5877473,5886255,5893194,5898399,5901937,5903918,5904390,5903390,5900931,5897024,5891596,5884601,5875962,5865635
Guerrero,778154,795284,813710,833159,853537,874863,897030,920222,944488,969686,995931,1024889,1056517,1089173,1122708,1157033,1192228,1228365,1265250,1303006,1340211,1376002,1411360,1446362,1480500,1514405,1547534,1578910,1608746,1636835,1662249,1686646,1712342,1738619,1764594,1794482,1835255,1884200,1935806,1989121,2040678,2087889,2131871,2174137,2214081,2242760,2259779,2275008,2290473,2304850,2316460,2326517,2341233,2360175,2378865,2397316,2415219,2432182,2447755,2461678,2473951,2484703,2494149,2502977,2511596,2519901,2528402,2537229,2545569,2552625,2557805,2560995,2562472,2562397,2560932,2558285,2554583,2549936,2544489,2538330,2531562,2524210,2516296,2507777,2498625,2488784,2478230,2466996,2455111,2442602,2429550,2416001,2402000,2387579,2372793,2357633,2342099,2326145,2309760,2292895,2275531
Hidalgo,595489,606951,619515,632734,646572,661016,675949,691533,707767,724573,743098,764918,789060,814009,839672,865973,892950,920630,948852,977697,1008110,1039814,1071688,1103492,1134952,1165654,1194906,1222806,1249693,1275388,1301989,1331109,1361729,1393135,1424678,1457461,1499305,1550479,1604362,1660183,1712611,1758836,1802200,1844520,1885326,1926645,1970016,2014552,2060441,2106527,2146740,2180849,2220521,2266270,2312142,2358023,2403664,2448692,2492677,2535294,2576421,2616167,2654667,2691715,2726968,2760590,2793086,2824683,2855165,2884520,2912522,2939037,2964242,2988171,3010826,3032277,3052571,3071758,3089919,3107073,3123223,3138317,3152319,3165138,3176716,3186963,3195821,3203308,3209414,3214173,3217684,3219990,3221142,3221204,3220219,3218231,3215230,3211196,3206119,3199995,3192797
Jalisco,1643621,1681945,1723164,1766701,1812420,1860240,1909951,1962005,2016468,2073018,2134222,2202266,2274814,2349608,2426331,2504804,2585152,2667504,2751427,2837185,2926993,3020912,3116525,3212553,3308060,3401760,3486066,3560875,3632244,3699536,3772642,3857819,3948873,4042446,4136622,4231331,4330382,4436537,4548492,4663940,4777510,4887955,4995763,5100343,5200277,5302428,5410714,5521309,5635041,5748885,5846805,5924464,6011193,6111846,6211612,6310305,6407699,6503330,6596567,6686775,6773664,6857820,6939911,7020126,7097893,7173086,7246985,7319984,7391080,7459803,7525430,7587521,7646563,7702459,7755113,7804624,7851286,7895383,7937078,7976406,8013400,8048103,8080427,8110213,8137276,8161444,8182674,8200912,8216301,8228977,8239034,8246676,8252044,8255238,8256386,8255505,8252637,8247706,8240616,8231289,8219657
Michoacán,1118319,1136855,1157014,1178298,1200545,1223689,1247574,1272465,1298397,1325110,1356822,1397883,1444505,1492648,1542102,1592774,1644794,1698197,1752773,1808685,1862393,1912191,1961006,2009284,2056363,2101497,2140724,2174113,2204887,2232760,2261021,2292333,2325312,2358647,2391262,2427137,2480587,2549815,2622669,2697874,2766939,2826593,2882220,2935636,2986014,3030410,3070144,3109723,3150380,3190296,3226324,3255298,3290961,3337491,3384195,3430842,3477132,3522675,3567013,3609825,3651043,3691011,3730097,3768558,3806306,3843401,3880586,3917984,3956915,3997002,4035626,4072310,4107160,4140204,4171605,4201561,4230218,4257736,4284230,4309847,4334590,4358429,4381255,4402919,4423316,4442309,4459819,4475817,4490415,4503718,4515894,4527067,4537356,4546846,4555571,4563561,4570801,4577201,4582639,4587009,4590218
Morelos,313918,326154,339172,352912,367386,382576,398472,415186,432736,451122,469696,487932,506430,525613,545404,565759,586687,608210,630292,652930,678545,707756,738208,769164,800461,830849,856504,878217,899302,919611,938019,955317,973246,991522,1009749,1029468,1054589,1084429,1115854,1148280,1180458,1211637,1241890,1271480,1300089,1323760,1342362,1360381,1378908,1397178,1412829,1424148,1438741,1458596,1478116,1497330,1516175,1534562,1552325,1569330,1585496,1600925,1615777,1629905,1642999,1655041,1666329,1676980,1687393,1697694,1707253,1715893,1723648,1730592,1736756,1742208,1746983,1751096,1754568,1757407,1759638,1761245,1762202,1762513,1762154,1761153,1759455,1757096,1754080,1750431,1746209,1741432,1736133,1730344,1724081,1717359,1710200,1702580,1694533,1686010,1677028
México,1881472,2013960,2155656,2305587,2463989,2631204,2807377,2993460,3190152,3397652,3596357,3768676,3932598,4103438,4280580,4463431,4652092,4846699,5046693,5252657,5473170,5710241,5955343,6204746,6456664,6709798,6962072,7212420,7460187,7703801,7914826,8097687,8286143,8479555,8674086,8866288,9060699,9266208,9483414,9707302,9947096,10205292,10463121,10715097,10958441,11172538,11358968,11543305,11732474,11920283,12068895,12179341,12325659,12506896,12683646,12856161,13024180,13186689,13341980,13488676,13625958,13754341,13874882,13988434,14095625,14197186,14295309,14390860,14479624,14560295,14633944,14700280,14759915,14812234,14857282,14895417,14926866,14951663,14969752,14981365,14986650,14985814,14978868,14965810,14946632,14921447,14890364,14853443,14810920,14763058,14709999,14652081,14589552,14522659,14451605,14376551,14297669,14215089,14128865,14039113,13945962
Nayarit,265379,271294,277629,284320,291334,298671,306280,314221,322524,331132,340369,350145,360158,370447,380958,391629,402462,413471,424566,435797,447324,459145,471034,482774,494248,505314,515106,523624,531528,538727,546773,556560,567064,577794,588487,600134,616601,637516,659574,682461,703714,722379,740075,757356,774015,788401,800537,812449,824714,836853,849358,862092,876453,892950,909606,926327,943011,959535,975724,991452,1006680,1021481,1035942,1049839,1063113,1076015,1088751,1101386,1113963,1126416,1138472,1150062,1161239,1171936,1182120,1191782,1200986,1209759,1218126,1226066,1233604,1240763,1247529,1253865,1259731,1265099,1269966,1274336,1278225,1281663,1284670,1287309,1289593,1291531,1293149,1294444,1295427,1296056,1296348,1296246,1295747
Nuevo León,881753,912152,944446,978518,1014344,1051894,1091082,1132120,1175145,1220114,1268846,1320658,1373856,1429064,1486055,1544612,1604764,1666546,1729763,1794567,1860147,1926145,1993146,2060715,2128380,2192762,2251923,2308431,2363185,2415660,2468793,2526431,2587852,2650816,2714143,2779272,2847047,2917811,2992478,3069454,3149869,3235649,3322811,3408561,3491958,3586307,3696382,3811249,3929640,4049476,4149610,4229006,4315821,4410900,4505467,4599413,4692925,4785946,4878271,4969543,5059516,5148495,5237088,5325159,5412006,5497579,5582766,5667955,5753169,5837915,5920766,6001601,6080925,6158607,6234189,6307436,6378499,6447705,6515168,6580740,6644252,6705638,6765005,6822330,6877492,6930302,6980712,7028768,7074563,7118198,7159676,7199057,7236431,7271900,7305522,7337308,7367246,7395277,7421388,7445519,7467642
Oaxaca,1036379,1047379,1059567,1072341,1085562,1099209,1113086,1127384,1142069,1156919,1176271,1206203,1242915,1280770,1319643,1359466,1400333,1442267,1485041,1528773,1568343,1601355,1632269,1662279,1690850,1720932,1758718,1801239,1842362,1881866,1917907,1951987,1987352,2023533,2059605,2098270,2145485,2200079,2257555,2316782,2372847,2424053,2472647,2519248,2563201,2602689,2639365,2676574,2714864,2752665,2783993,2806464,2835211,2873467,2912066,2950862,2989427,3027274,3063828,3098786,3132104,3163955,3194562,3224110,3252529,3279897,3306844,3333524,3359801,3385945,3411506,3436024,3459522,3481933,3503334,3523776,3543346,3562098,3580056,3597301,3613801,3629507,3644347,3658183,3670910,3682448,3692740,3701779,3709598,3716288,3721941,3726648,3730501,3733561,3735897,3737527,3738430,3738590,3737928,3736426,3734029
