Entidad,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
Durango,221106,225104,229479,234126,239022,244142,249445,254998,260833,266923,273981,282238,290999,300005,309196,318541,328041,337677,347431,357296,366574,374986,383124,391036,398648,405529,411410,416675,421535,425942,431840,439915,448564,457478,466503,476155,486924,498536,510272,521795,533316,545166,557174,568912,580153,589706,597646,605424,613457,621470,629485,637973,647510,657737,667902,678027,688104,698123,708000,717667,727091,736302,745338,754034,762205,769878,777219,784294,790925,797015,802566,807618,812233,816471,820369,823963,827268,830316,833109,835656,837967,840033,841863,843469,844848,845987,846885,847542,847957,848124,848046,847722,847151,846323,845253,843937,842384,840596,838587,836342,833887
Guanajuato,551982,564888,578806,593511,609020,625316,642250,660031,678774,698396,721824,751686,785385,820461,856780,894327,933133,973247,1014585,1057187,1095956,1129009,1160852,1192474,1223596,1254243,1285114,1316124,1346544,1376237,1406536,1438716,1472291,1506894,1542072,1579700,1624640,1676013,1728415,1780708,1830351,1874601,1915697,1955788,1994137,2030435,2065740,2101374,2138072,2174854,2209181,2239594,2273036,2310867,2348171,2385048,2421518,2457543,2492913,2527450,2561076,2593834,2625957,2657510,2688281,2718218,2747763,2777130,2805841,2833558,2859908,2884638,2907885,2929707,2950179,2969381,2987340,3004070,3019623,3034025,3047295,3059463,3070571,3080640,3089707,3097779,3104904,3111065,3116288,3120573,3123942,3126377,3127890,3128476,3128141,3126887,3124729,3121669,3117725,3112906,3107221
Guerrero,395206,403539,412465,421905,431842,442274,453111,464481,476468,488998,502712,518699,536381,554647,573403,592626,612361,632632,653366,674588,694855,713585,731943,750104,767864,785860,804407,822879,840954,858579,874393,888782,903527,918661,933899,951091,973071,998577,1024443,1050018,1075533,1100314,1124074,1147193,1169207,1185248,1195103,1204073,1213272,1222133,1230117,1237272,1245878,1256091,1266082,1275929,1285520,1294733,1303361,1311248,1318357,1324708,1330362,1335609,1340619,1345321,1349971,1354662,1359010,1362666,1365425,1367271,1368333,1368678,1368352,1367419,1365917,1363849,1361262,1358179,1354641,1350674,1346311,1341576,1336481,1331044,1325263,1319169,1312767,1306057,1299055,1291757,1284171,1276283,1268128,1259691,1250987,1242007,1232771,1223281,1213548
Hidalgo,298428,303871,309819,316075,322667,329578,336710,344184,352028,360220,369796,381778,395215,409112,423404,438080,453163,468656,484493,500681,517087,533473,549839,566163,582355,598746,615691,632843,649831,666599,683265,700283,717869,735979,754425,773643,797109,824971,853485,882085,909045,933113,955885,978267,999901,1021500,1043858,1066817,1090517,1114461,1136775,1157302,1179816,1204481,1229192,1253946,1278661,1303200,1327364,1350948,1373867,1396113,1417719,1438542,1458370,1477263,1495473,1513139,1530178,1546604,1562352,1577388,1591804,1605602,1618755,1631269,1643131,1654331,1664884,1674771,1683990,1692514,1700358,1707502,1713953,1719704,1724735,1729065,1732682,1735590,1737819,1739365,1740235,1740453,1740013,1738959,1737290,1735000,1732122,1728666,1724648
Jalisco,844769,865594,887933,911546,936446,962571,989748,1018305,1048376,1079820,1113407,1150123,1189219,1229487,1270702,1312855,1355987,1400152,1445181,1491135,1538074,1585804,1634037,1682360,1730400,1777605,1820081,1858009,1894823,1930315,1969283,2014182,2061544,2110374,2160104,2210611,2262705,2317471,2372833,2427244,2480299,2531876,2582417,2631563,2678304,2728071,2783174,2839708,2897978,2956709,3007517,3048032,3091676,3140663,3189079,3236970,3284363,3331168,3377104,3421825,3465083,3507064,3547953,3587715,3625995,3662665,3698342,3733263,3767026,3799569,3830752,3860453,3888923,3916066,3941779,3966006,3988787,4010173,4030158,4048700,4065781,4081461,4095747,4108673,4120245,4130482,4139404,4147046,4153414,4158546,4162406,4165059,4166475,4166685,4165710,4163550,4160265,4155850,4150331,4143702,4136031
Michoacán,565431,575299,586002,597323,609246,621712,634602,648109,662312,677098,694871,717862,743880,770755,798354,826686,855796,885694,916297,947660,976931,1003018,1028375,1053418,1077873,1101850,1124167,1144575,1164132,1182766,1200856,1219176,1237922,1256985,1276023,1296547,1324624,1359627,1395087,1430126,1462368,1490802,1517653,1543539,1567843,1589168,1608208,1627114,1646611,1665930,1684585,1700962,1719751,1742773,1765758,1788753,1811735,1834626,1857213,1879292,1900740,1921622,1942015,1961922,1981187,1999804,2018124,2036266,2054994,2074264,2092929,2110844,2128086,2144641,2160519,2175739,2190281,2204140,2217289,2229763,2241535,2252614,2263007,2272730,2281827,2290315,2298214,2305513,2312258,2318442,2324108,2329242,2333857,2337945,2341512,2344555,2347081,2349107,2350610,2351609,2352092
Morelos,158508,164737,171359,178356,185744,193522,201672,210263,219324,228871,238640,248415,258400,268755,279437,290431,301749,313383,325336,337596,351271,366674,382691,398980,415488,431705,445874,458361,470748,482978,493940,503777,513785,524035,534408,545675,559588,575735,592155,608458,624557,640215,655490,670506,685029,697125,706721,716012,725600,735156,743886,750933,759017,769036,778868,788542,798056,807388,816458,825196,833551,841544,849243,856541,863270,869415,875112,880441,885604,890674,895371,899636,903481,906939,910006,912709,915045,917007,918596,919796,920626,921076,921147,920850,920206,919232,917904,916262,914290,912004,909418,906538,903364,899917,896194,892196,887950,883448,878716,873739,868540
México,936548,1003435,1074962,1150717,1230925,1315753,1405199,1499883,1600329,1706710,1809262,1899015,1984807,2074210,2166820,2262484,2361227,2463075,2567817,2675627,2790869,2914630,3042464,3172610,3304401,3437059,3569491,3701902,3834735,3967527,4083399,4182648,4283529,4387494,4493397,4600783,4712435,4830917,4950898,5069117,5193966,5326829,5459589,5590199,5716637,5827435,5923229,6017873,6115280,6212813,6297826,6368425,6450722,6546007,6639008,6729814,6818353,6904207,6986606,7064838,7138421,7207528,7272606,7334027,7392085,7447071,7500037,7551431,7599167,7642594,7682407,7718486,7751100,7779922,7804953,7826332,7844076,7858232,7868678,7875512,7878801,7878648,7875096,7868165,7857884,7844395,7827737,7808010,7785284,7759672,7731262,7700181,7666538,7630471,7592040,7551367,7508535,7463649,7416771,7367970,7317386
Nayarit,130057,133097,136353,139798,143424,147234,151191,155344,159716,164286,169152,174249,179473,184830,190294,195845,201484,207205,212978,218816,224758,230801,236862,242843,248699,254378,259495,264078,268462,272616,277176,282470,288037,293750,299531,305792,314269,324824,335607,346419,356603,365859,374760,383523,391990,399421,405872,412250,418840,425446,432288,439285,446942,455463,464039,472655,481304,489935,498472,506851,515032,523015,530824,538320,545465,552368,559122,565782,572379,578886,585218,591379,597376,603183,608773,614098,619192,624034,628625,632935,636976,640751,644285,647573,650624,653447,656042,658418,660573,662515,664247,665780,667114,668233,669137,669832,670338,670635,670742,670649,670366
Nuevo León,442132,457478,473759,490951,509091,528151,548049,568949,590967,614107,638979,665076,691796,719492,748005,777286,807342,838173,869702,901965,934816,968162,1002020,1036156,1070400,1102854,1131962,1159389,1186356,1212698,1239755,1268972,1299764,1331471,1363762,1397986,1434854,1473719,1513132,1552076,1592153,1634317,1677135,1719476,1760671,1806918,1860497,1916318,1973907,2032427,2082422,2123282,2166806,2213256,2259410,2305284,2351024,2396670,2442146,2487253,2531823,2575949,2619867,2663468,2706385,2748565,2790431,2832191,2873907,2915384,2956021,2995831,3035052,3073609,3111251,3147812,3183322,3217897,3251541,3284144,3315622,3345948,3375199,3403409,3430570,3456633,3481597,3505496,3528367,3550232,3571059,3590848,3609612,3627382,3644163,3659956,3674768,3688590,3701452,3713343,3724283
