Edad,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
10,355298,365985,376021,386557,398794,410590,421348,432164,442858,453298,463209,476087,494855,517723,544673,572053,596088,619068,643769,670435,697680,724269,749933,775785,801711,825791,848181,871486,896589,922457,948695,974768,999166,1020680,1037328,1047154,1049317,1046671,1044392,1044906,1048346,1054348,1062876,1072809,1082922,1092023,1098931,1105123,1112053,1120376,1131512,1143950,1152007,1153420,1150074,1144039,1137669,1134721,1138137,1147146,1154852,1154503,1146586,1136467,1129041,1124793,1123200,1123958,1125660,1125572,1120627,1110056,1096040,1083356,1073820,1063348,1047173,1029983,1022551,1019790,1014919,1010314,1000425,987836,977811,967342,956575,945644,934677,923774,912925,902025,891011,880035,869288,858782,848468,838285,828210,818293,808533,798955,789584,780336,771129,761949,752856,743924,735112,726306,717491,708752,700185,691773,683400,675037,666746,658604,650619,642706,634833
11,343374,353828,364452,374487,385059,397334,409132,419872,430621,441300,451742,461669,474529,493245,516068,542947,570209,594151,616998,641533,668047,695159,721636,747225,773096,799016,823015,845271,868588,893762,919626,945845,971884,996239,1017665,1034129,1043731,1045663,1042805,1040345,1040696,1044073,1050091,1058631,1068609,1078768,1087826,1094564,1100519,1107123,1115371,1127081,1140210,1148874,1150816,1148445,1143826,1138671,1135593,1138145,1146819,1154244,1153445,1145306,1134937,1126962,1122523,1121184,1122375,1124323,1124409,1119577,1109058,1095069,1082379,1072818,1062319,1046132,1028943,1021514,1018760,1013906,1009321,999457,986895,976892,966441,955689,944772,933817,922925,912086,901197,890196,879233,868499,858007,847707,837538,827476,817571,807823,798256,788895,779656,770459,761288,752204,743282,734479,725683,716878,708149,699591,691188,682824,674469,666186,658052,650074,642169
12,332332,342029,352422,363040,373100,383702,395975,407745,418425,429156,439831,450282,460200,473028,491714,514478,541240,568394,592206,614903,639298,665681,692676,719065,744647,770503,796341,820199,842464,865854,891020,916855,943036,969026,993282,1014508,1030716,1040062,1041765,1038731,1036119,1036410,1039810,1045844,1054437,1064462,1074577,1083466,1089984,1095648,1102221,1111056,1123464,1137175,1146332,1149200,1148194,1144751,1139467,1135548,1137771,1146166,1153141,1152127,1143739,1132837,1124685,1120502,1119595,1121029,1123137,1123317,1118541,1108067,1094081,1081373,1071785,1061267,1045075,1027896,1020476,1017735,1012901,1008337,998499,985963,975980,965545,954807,943902,932957,922075,911247,900370,889382,878433,867715,857237,846952,836797,826748,816856,807119,797562,788211,778982,769793,760632,751558,742646,733853,725067,716272,707553,699005,690610,682255,673909,665633,657507,649537
13,322142,330986,340617,350995,361619,371695,382292,394524,406231,416890,427612,438289,448728,458623,471436,490064,512707,539341,566341,589988,612537,636791,663036,689910,716254,741809,767568,793246,817093,839430,862813,887940,913719,939830,965700,989722,1010641,1026530,1035574,1037054,1033847,1031164,1031455,1034893,1041022,1049695,1059696,1069649,1078346,1084635,1090371,1097670,1107324,1120345,1134505,1144541,1148745,1148907,1145367,1139282,1135044,1136999,1144964,1151734,1150465,1141547,1130472,1122589,1118841,1118178,1119762,1121958,1122207,1117490,1107026,1093028,1080296,1070682,1060148,1043959,1026797,1019394,1016672,1011862,1007322,997512,985001,975035,964615,953888,942993,932057,921186,910371,899508,888535,877603,866901,856440,846170,836029,825993,816113,806387,796841,787499,778280,769102,759952,750889,741988,733206,724431,715646,706937,698399,690013,681667,673329,665061,656944
14,312564,320710,329480,339085,349451,360073,370135,380685,392848,404524,415166,425884,436547,446959,456842,469603,488104,510604,537058,563853,587320,609702,633789,659889,686685,712967,738397,763973,789619,813527,835847,859181,884236,909929,935893,961479,985117,1005619,1021105,1029838,1031087,1027765,1025060,1025407,1028980,1035221,1043874,1053704,1063487,1072033,1078550,1085253,1093590,1103951,1117370,1132364,1143725,1149123,1149246,1144948,1138556,1134068,1135616,1143385,1149904,1148083,1138995,1128211,1120800,1117309,1116774,1118435,1120710,1121017,1116309,1105830,1091807,1079048,1069414,1058874,1042702,1025571,1018196,1015501,1010721,1006207,996423,983934,973983,963573,952856,941970,931046,920188,909389,898543,887589,876676,865993,855550,845296,835170,825148,815280,805567,796032,786701,777494,768328,759190,750139,741251,732481,723718,714945,706248,697719,689344,681007,672679,664421
15,303559,311021,319084,327820,337404,347758,358354,368359,378843,390966,402612,413243,423945,434576,444968,454800,467440,485789,508102,534325,560889,584147,606347,630279,656271,682975,709105,734333,759863,785543,809424,831690,854935,879875,905397,931032,956161,979294,999298,1014379,1022791,1023849,1020483,1017834,1018331,1022016,1028225,1036663,1046283,1055899,1064725,1072404,1080345,1089458,1100161,1114399,1130791,1143459,1148950,1148386,1143818,1137229,1132383,1133779,1141309,1147235,1145233,1136476,1126215,1119073,1115701,1115229,1116953,1119257,1119552,1114816,1104309,1090267,1077501,1067871,1057351,1041220,1024136,1016799,1014133,1009381,1004889,995127,982658,972719,962320,951614,940740,929831,918991,908210,897386,886455,875565,864903,854480,844245,834136,824130,814276,804577,795055,785739,776545,767394,758270,749235,740361,731606,722857,714098,705413,696897,688534,680209,671892
16,294952,301839,309205,317222,325925,335486,345801,356323,366257,376699,388778,400400,411011,421674,432275,442596,452300,464788,482933,504994,530940,557233,580265,602280,626082,651946,678458,704349,729506,755062,780698,804483,826638,849753,874488,899618,924708,949217,971727,991204,1005838,1013944,1014870,1011555,1009093,1009730,1013375,1019327,1027481,1036823,1046710,1056901,1066037,1074838,1084195,1095714,1111526,1129444,1142433,1147368,1146632,1141985,1135135,1130199,1131373,1138280,1144007,1142376,1134195,1124230,1117193,1113865,1113447,1115177,1117449,1117697,1112920,1102394,1088357,1075611,1066012,1055537,1039464,1022442,1015145,1012508,1007780,1003303,993559,981108,971180,960793,950101,939245,928356,917539,906783,895986,885081,874217,863580,853180,842966,832877,822888,813052,803369,793865,784565,775389,766255,757149,748132,739275,730537,721805,713062,704392,695891,687542,679230
17,286519,293031,299808,307114,315088,323760,333272,343498,353933,363817,374214,386257,397847,408413,419033,429543,439711,449251,461535,479410,501171,526791,552793,575599,597464,621115,646756,672983,698772,723939,749427,774937,798577,820576,843456,867737,892227,916578,940337,962190,981102,995291,1003132,1004065,1000973,998706,999323,1002690,1008294,1016071,1025677,1037138,1049006,1059073,1067995,1078143,1091421,1108985,1127449,1140014,1144895,1144217,1139420,1132553,1127416,1127933,1134621,1140754,1139758,1131894,1122021,1115004,1111724,1111296,1112976,1115187,1115383,1110582,1100066,1086068,1073374,1063829,1053414,1037410,1020453,1013195,1010578,1005867,1001400,991671,979238,969325,958955,948283,937450,926588,915800,905075,894308,883435,872600,861991,851616,841426,831358,821391,811575,801913,792429,783150,773995,764882,755797,746801,737964,729246,720532,711808,703156,694673,686340
18,278253,284453,290847,297559,304819,312760,321380,330798,340930,351303,361136,371500,383503,395036,405550,416067,426410,436395,445730,457762,475341,496778,522082,547809,570436,592143,615560,640903,667004,692784,717877,743220,768536,791987,813733,836132,859719,883405,906935,929965,951168,969522,983334,991099,992235,989370,987116,987466,990439,995560,1003553,1014829,1028070,1040871,1050927,1060611,1072665,1087889,1106176,1124310,1136897,1141943,1141209,1136452,1129379,1123535,1123841,1130980,1137795,1137118,1129339,1119472,1112504,1109214,1108726,1110337,1112489,1112657,1107865,1097395,1083466,1070845,1061367,1051016,1035082,1018186,1010959,1008354,1003653,999193,989480,977070,967176,956829,946184,935381,924552,913798,903108,892376,881536,870733,860154,849807,839643,829600,819657,809866,800228,790768,781513,772381,763293,754232,745259,736445,727749,719057,710353,701723,693259
19,269906,276110,282191,288523,295194,302425,310315,318842,328168,338236,348548,358348,368681,380620,392089,402495,412842,422997,432764,441864,453641,470922,492073,517103,542609,565066,586551,609679,634895,660979,686663,711599,736742,761846,785013,806274,827974,850749,873596,896377,918726,939328,957236,970894,978787,980114,977279,974785,974714,977109,982375,992034,1005098,1019240,1031926,1042721,1054413,1068547,1084592,1102579,1120768,1133571,1138598,1137912,1132907,1125054,1118979,1119784,1127664,1134804,1134173,1126358,1116565,1109624,1106284,1105734,1107292,1109415,1109584,1104831,1094428,1080583,1068043,1058631,1048339,1032468,1015628,1008425,1005827,1001134,996681,986989,974608,964740,954423,943812,933047,922255,911539,900887,890191,879387,868619,858072,847755,837620,827606,817691,807928,798317,788885,779657,770552,761490,752456,743509,734720,726048,717381,708701,700094
