Edad,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
10,363086,374064,384406,395293,407939,420027,430956,441982,452932,463687,473980,487207,506465,529983,558089,586672,611518,635330,660802,688184,715928,742919,769016,795205,821315,845590,868220,891711,916861,942617,968698,994911,1019562,1041206,1057900,1067787,1070117,1067588,1065555,1066670,1071019,1078015,1087632,1098910,1110602,1121323,1129741,1137282,1145165,1153779,1165507,1179284,1188372,1189858,1185625,1177602,1168424,1162386,1163990,1173039,1181148,1180693,1172110,1161520,1154595,1152261,1154123,1159445,1165338,1167324,1162643,1151745,1137212,1124284,1114794,1104168,1087280,1069108,1061039,1057496,1052768,1049310,1038648,1024630,1014072,1003056,991805,980506,969287,958228,947274,936271,925115,913936,902916,892058,881313,870636,860028,849583,839337,829343,819639,810132,800714,791344,782060,772918,763859,754760,745605,736487,727519,718701,709933,701201,692579,684152,675919,667782,659692
11,350793,361511,372431,382779,393702,406391,418492,429411,440376,451317,462075,472393,485622,504831,528280,556293,584740,609452,633089,658358,685547,713122,739961,765956,792137,818194,842348,864796,888203,913326,939019,964994,991098,1015689,1037238,1053757,1063472,1065647,1062995,1060904,1061999,1066343,1073357,1083052,1094478,1106246,1116887,1125052,1132144,1139424,1148157,1160848,1175355,1184631,1186045,1182036,1174798,1166551,1161384,1163495,1172550,1180588,1179652,1170678,1159858,1152504,1150080,1152162,1157855,1163876,1165895,1161434,1150691,1136271,1123422,1113933,1103254,1086298,1068056,1059925,1056341,1051600,1048155,1037539,1023591,1013114,1002183,991008,979761,968563,957496,946513,935471,924278,913073,902041,891188,880464,869821,859259,848863,838665,828710,819031,809533,800109,790725,781422,772263,763193,754092,744944,735843,726899,718110,709371,700665,692065,683650,675422,667282
12,339393,349322,359984,370904,381282,392245,404938,417017,427882,438834,449772,460549,470877,484078,503232,526600,554481,582781,607323,630774,655866,682886,710298,737022,762984,789100,815034,839004,861358,884736,909790,935367,961225,987263,1011749,1033102,1049411,1058938,1060969,1058261,1056162,1057268,1061626,1068736,1078597,1090101,1101783,1112167,1119908,1126447,1133890,1143595,1157016,1171702,1180894,1182513,1179251,1172909,1165511,1160824,1162921,1171891,1179450,1178132,1168943,1157714,1150277,1148050,1150494,1156337,1162387,1164615,1160317,1149710,1135394,1122569,1113041,1102294,1085267,1066969,1058797,1055194,1050463,1047052,1036500,1022635,1012240,1001382,990259,979036,967833,956740,945721,934644,923427,912211,901185,890354,879666,869069,858557,848210,838051,828122,818453,808949,799511,790108,780788,771618,762547,753453,744321,735244,726328,717568,708857,700173,691585,683176,674946
13,328847,337903,347773,358426,369363,379770,390732,403390,415411,426258,437203,448155,458938,469246,482405,501478,524713,552426,580526,604863,628118,653028,679869,707137,733788,759666,785642,811367,835206,857512,880806,905713,931140,956918,982831,1007080,1028159,1044212,1053531,1055476,1052759,1050667,1051776,1056254,1063560,1073510,1084920,1096320,1106273,1113509,1120354,1128966,1139563,1153225,1167806,1177174,1179544,1177199,1171713,1164785,1160073,1162078,1170570,1177762,1176241,1166646,1155339,1148087,1146227,1148850,1154717,1160979,1163380,1159235,1148756,1134489,1121645,1112060,1101239,1084153,1065821,1057631,1054033,1049334,1045977,1035499,1021715,1011389,1000581,989483,978258,967034,955910,944862,933764,922540,911334,900333,889539,878899,868353,857889,847582,837449,827530,817857,808340,798884,789465,780136,770964,761900,752823,743716,734667,725781,717049,708360,699690,691109,682700
14,318796,327045,336010,345832,356465,367394,377769,388670,401248,413229,424060,435013,445966,456719,466970,480016,498895,521880,549284,577047,601070,624035,648677,675282,702386,728850,754488,780148,805641,829360,851532,874592,899244,924502,950068,975607,999388,1019992,1035653,1044756,1046621,1043864,1041718,1042946,1047652,1055006,1064722,1075594,1086510,1096220,1104538,1113688,1124055,1135199,1148634,1163262,1173358,1176713,1175348,1170472,1163592,1158856,1160447,1168613,1175610,1173662,1163986,1152862,1146002,1144349,1146969,1153062,1159541,1162120,1158137,1147730,1133460,1120567,1110903,1100010,1082882,1064540,1056360,1052794,1048150,1044858,1034455,1020739,1010458,999673,988573,977332,966084,954938,943876,932780,921572,910396,899436,888693,878105,867607,857183,846900,836778,826856,817171,807639,798171,788745,779416,770254,761208,752156,743078,734060,725202,716493,707820,699159,690580
15,309202,316473,324579,333437,343188,353765,364607,374877,385675,398181,410125,420956,431903,442809,453462,463539,476313,494821,517360,544243,571464,595011,617582,641874,668181,694943,720993,746143,771429,796690,820168,841975,864628,888982,913890,938886,963668,986642,1006554,1021765,1030619,1032298,1029387,1027328,1028749,1033357,1040156,1048829,1059028,1069972,1081913,1094405,1106734,1118092,1128735,1141995,1157405,1168725,1173409,1173025,1168425,1161713,1156735,1158100,1166096,1172631,1170586,1161091,1150393,1143773,1142078,1144910,1151234,1157880,1160619,1156710,1146306,1132003,1119045,1109314,1098377,1081242,1062926,1054783,1051267,1046684,1043453,1033110,1019441,1009183,998401,987293,976038,964779,953632,942581,931510,920340,909213,898308,887620,877082,866625,856228,845958,835836,825907,816212,806672,797201,787780,778465,769325,760307,751287,742242,733255,724423,715733,707072,698418
16,300054,306431,313522,321476,330227,339890,350340,361032,371178,381895,394342,406267,417085,427970,438739,449151,458896,471243,489218,511139,537326,563888,586908,609055,632957,658812,685016,710436,735092,760051,784964,807938,829217,851482,875379,899557,923570,947262,969285,988530,1003295,1011754,1013100,1010163,1008163,1009260,1012932,1018145,1025746,1035785,1049629,1067227,1084003,1097573,1108098,1118410,1132839,1150092,1163352,1169561,1169772,1165600,1158834,1153747,1155009,1162519,1168964,1167131,1158121,1147698,1140950,1139397,1142452,1148906,1155681,1158472,1154563,1144142,1129799,1116797,1107034,1096090,1078988,1060730,1052640,1049177,1044650,1041463,1031164,1017528,1007280,996500,985391,974138,962891,951768,940754,929731,918619,907556,896713,886081,875589,865164,854784,844520,834396,824464,814766,805230,795771,786370,777083,767977,758997,750016,741008,732053,723247,714575,705927
17,291192,297020,303204,310126,317962,326616,336136,346416,356964,367023,377688,390101,401993,412741,423470,433962,443994,453293,465119,482464,503677,529137,555065,577601,599331,622754,647994,673490,698334,722613,747167,771477,793827,814675,836457,859540,882617,905410,928020,949251,967903,982086,990011,991103,987990,985445,985304,986962,990620,997467,1010369,1030532,1052820,1070758,1083161,1093278,1105402,1122583,1142533,1157882,1164992,1165878,1161808,1155029,1149920,1150696,1158148,1164858,1163574,1154858,1144236,1137582,1136251,1139410,1145961,1152756,1155527,1151598,1141146,1126782,1113772,1104009,1093091,1076052,1057874,1049846,1046431,1041949,1038791,1028523,1014913,1004675,993903,982807,971577,960366,949291,938338,927384,916347,905356,894579,884000,873545,863142,852772,842512,832390,822460,812773,803255,793823,784458,775214,766153,757220,748283,739314,730391,721610,712957
18,282607,288110,293754,299782,306601,314352,322869,332226,342368,352819,362827,373470,385839,397649,408240,418690,428804,438387,447207,458491,475198,495768,520614,546009,568119,589403,612255,636807,661707,686146,710014,733952,757605,779495,799875,820868,842859,864736,886461,908264,928864,946859,960391,967801,968404,964560,960626,958301,957988,960172,969336,988390,1012963,1036039,1052499,1064452,1076982,1092714,1113319,1135838,1152274,1160206,1161287,1157251,1150488,1144862,1145605,1153377,1160673,1159666,1150691,1140134,1133713,1132480,1135716,1142262,1149009,1151738,1147765,1137292,1122937,1109946,1100213,1089349,1072399,1054322,1046360,1042988,1038539,1035393,1025148,1011562,1001336,990584,979519,968335,957183,946182,935311,924445,913493,902580,891865,881330,870903,860514,850151,839894,829779,819865,810202,800718,791330,782017,772828,763824,754944,746054,737124,728233,719476
19,274010,279631,284975,290490,296444,303203,310836,319213,328452,338505,348898,358886,369502,381789,393442,403778,413884,423587,432729,441095,451881,468070,488146,512520,537473,559163,579969,602234,626230,650724,674759,698053,721383,744583,766025,785687,805695,826591,847501,868508,889734,909701,927030,939890,946545,946223,940951,934879,930358,927968,931759,946426,969267,994198,1015546,1031474,1046176,1062822,1082495,1106015,1129652,1146905,1155013,1156101,1152057,1144705,1139044,1140166,1148570,1156113,1154780,1145840,1135544,1129241,1128082,1131301,1137775,1144449,1147100,1143080,1132607,1118285,1105347,1095675,1084891,1068056,1050098,1042203,1038864,1034432,1031282,1021050,1007490,997282,986563,975550,964436,953370,942466,931699,920934,910074,899235,888573,878070,867658,857275,846916,836669,826572,816687,807066,797635,788308,779062,769941,761001,752176,743333,734440,725577
20,264900,271216,276706,281953,287427,293351,300018,307537,315820,324986,334984,345350,355316,365876,378019,389440,399483,409235,418557,427302,435276,445694,461520,481251,505244,529795,551077,571403,593194,616821,640936,664448,687208,710150,732934,753708,772520,791593,811667,831977,852509,873194,892562,909186,921166,926779,925011,917725,909402,902436,900998,909484,927286,950165,973278,993973,1012662,1031586,1052400,1075177,1099731,1124060,1141356,1149372,1150376,1145623,1138179,1132938,1134761,1143403,1150548,1149214,1140564,1130430,1124212,1123032,1126165,1132538,1139092,1141652,1137599,1127148,1112898,1100051,1090475,1079803,1063105,1045274,1037438,1034111,1029675,1026500,1016274,1002744,992566,981900,970963,959948,948996,938214,927565,916908,906135,895357,884731,874243,863835,853453,843102,832873,822809,812973,803413,794055,784808,775642,766596,757721,748949,740147,731285
21,254970,262311,268519,273941,279176,284646,290503,297082,304530,312756,321876,331850,342190,352114,362566,374508,385677,395427,404860,413849,422264,429972,440162,455744,475203,498874,523059,543931,563856,585331,608630,632284,655329,677769,700363,722548,742567,760595,779006,798596,818537,838651,858844,877566,893312,904254,908450,904781,895267,884343,877803,880266,891343,909018,930151,952563,975810,998487,1021573,1045521,1069162,1094226,1118419,1135474,1143283,1143426,1138468,1131430,1126941,1129030,1137262,1144377,1143336,1134887,1124853,1118619,1117344,1120355,1126576,1132994,1135474,1131412,1121027,1106897,1094188,1084744,1074207,1057654,1039942,1032140,1028794,1024325,1021108,1010886,997398,987271,976686,965859,954973,944163,933520,922996,912439,901736,890996,880383,869893,859480,849101,838767,828573,818564,808800,799325,790058,780904,771825,762854,754038,745310,736539
22,245677,252578,259829,265991,271424,276676,282098,287888,294417,301820,310009,319111,329063,339365,349203,359502,371236,382155,391645,400804,409521,417722,425276,435328,450721,469969,493354,517167,537676,557333,578540,601441,624695,647479,669641,691720,713235,732582,750078,768120,787442,807069,826808,846455,864388,879191,888836,891266,885382,873207,862334,859012,863616,874520,890633,911114,935797,962622,989282,1015416,1039993,1063930,1088703,1112491,1129186,1135969,1135766,1131146,1124881,1120691,1122421,1130633,1138035,1137215,1128857,1118809,1112474,1111059,1113898,1119955,1126254,1128685,1124664,1114401,1100447,1087920,1078633,1068232,1051807,1034184,1026375,1022975,1018452,1015185,1004979,991557,981512,971046,960363,949638,938988,928488,918079,907598,896934,886203,875581,865079,854662,844296,833999,823865,813936,804268,794898,785737,776682,767686,758781,750011,741313
23,236541,243448,250287,257507,263693,269156,274375,279746,285502,291997,299369,307547,316634,326557,336784,346500,356645,368171,378869,388134,397075,405622,413702,421168,431110,446370,465437,488519,511984,532241,551672,572554,595125,618164,640719,662437,683948,704885,723783,740997,758863,777962,797316,816626,835611,852742,866420,874475,874750,866184,853747,845513,843982,848421,857997,873575,896083,923913,954442,983991,1010504,1035147,1058650,1082897,1106177,1121680,1127950,1127983,1124121,1118159,1113666,1115430,1123980,1131629,1130858,1122458,1112296,1105805,1104203,1106868,1112789,1119011,1121453,1117537,1107460,1093732,1081413,1072281,1061987,1045644,1028061,1020204,1016721,1012137,1008831,998668,985352,975431,965122,954618,944073,933585,923214,912887,902444,891783,881035,870391,859877,849469,839140,828906,818861,809041,799491,790239,781188,772224,763299,754440,745698
24,227673,234445,241308,248138,255390,261614,267052,272231,277577,283308,289778,297144,305312,314382,324243,334366,343963,353950,365291,375796,384882,393690,402144,410152,417550,427424,442584,461431,484207,507409,527458,546617,567235,589641,612493,634664,655898,676926,697485,716150,733253,750973,769876,788907,807695,826033,842230,854529,860558,858183,849073,838757,832035,830372,833694,842874,860295,885566,916826,950041,979727,1006090,1030178,1053063,1076693,1098653,1113470,1119857,1120600,1117016,1110739,1106315,1108562,1117452,1125100,1124223,1115663,1105322,1098637,1096862,1099395,1105238,1111453,1113979,1110240,1100400,1086923,1074803,1065783,1055534,1039212,1021621,1013687,1010117,1005488,1002174,992097,978934,969180,959065,948760,938395,928048,917766,907476,897028,886339,875559,864895,854386,844012,833750,823612,813685,803995,794577,785446,776494,767604,758725,749892
25,220125,225683,232426,239294,246172,253463,259664,265068,270228,275553,281262,287731,295093,303255,312276,322050,332075,341547,351391,362566,372915,381901,390636,399035,406974,414337,424182,439181,457782,480325,503308,523111,542065,562564,584825,607346,629089,649926,670640,690998,709578,726597,744193,762863,781492,799785,817370,832403,842846,846353,843214,835730,826684,819859,817270,820325,831194,851063,879511,913256,946405,975754,1001468,1024853,1047043,1069297,1090432,1105228,1112249,1113223,1109239,1103001,1099259,1102024,1110904,1118376,1117257,1108464,1097917,1091065,1089174,1091650,1097497,1103791,1106478,1102970,1093390,1080145,1068169,1059184,1048905,1032547,1014919,1006907,1003270,998634,995359,985420,972459,962912,953011,942901,932689,922438,912191,901887,891400,880668,869860,859195,848718,838414,828253,818243,808458,798911,789623,780598,771722,762878,754021
26,212662,218209,223759,230519,237443,244369,251636,257803,263189,268329,273634,279347,285818,293180,301303,310254,319952,329870,339225,348939,359976,370243,379175,387862,396193,404104,411473,421216,436017,454431,476773,499518,519132,538006,558403,580375,602524,623928,644504,665058,685351,703874,720815,738257,756627,774891,792595,809206,822586,830699,833314,831372,824896,815755,808160,805410,810023,823084,845910,876670,910193,942861,971489,996439,1019068,1039856,1061210,1082209,1097540,1104732,1105189,1101141,1095775,1092764,1095554,1104233,1111379,1109939,1100894,1090182,1083238,1081320,1083835,1089781,1096236,1099142,1095884,1086536,1073453,1061530,1052493,1042117,1025692,1008032,999969,996311,991721,988543,978794,966076,956755,947062,937114,927002,916785,906518,896164,885621,874851,864037,853404,842998,832800,822775,812916,803284,793876,784701,775754,766922,758095
27,205165,210806,216352,221937,228760,235735,242646,249875,256020,261384,266503,271814,277533,284011,291343,299409,308302,317910,327725,336972,346578,357544,367770,376662,385277,393579,401507,408802,418395,433043,451295,473425,495985,515531,534331,554489,576140,597998,619179,639630,660137,680386,698849,715694,732932,751037,768851,785759,800914,812179,819352,822836,821673,815059,805241,797567,796266,802855,818686,843670,874091,907037,938945,966774,990916,1012132,1031995,1053158,1074597,1090023,1096577,1096825,1093793,1089361,1086410,1089020,1097338,1104075,1102304,1093061,1082274,1075341,1073503,1076158,1082291,1088967,1092109,1089064,1079866,1066841,1054869,1045709,1035206,1018722,1001064,993003,989383,984902,981877,972361,959904,950800,941277,931432,921350,911106,900779,890359,879769,868986,858202,847641,837346,827290,817424,807726,798241,788951,779856,770952,762133
28,197682,203359,209004,214590,220250,227127,234091,240968,248168,254286,259626,264751,270071,275802,282256,289542,297564,306383,315903,325620,334777,344335,355271,365444,374262,382857,391180,399037,406204,415689,430201,448289,470252,492736,512228,530821,550704,572105,593776,614847,635268,655756,675957,694349,711058,728122,745887,763042,778680,791944,802287,810088,814173,812811,805560,795704,789377,789871,799058,816914,841486,871273,903459,934547,961523,984271,1004541,1024183,1045740,1067217,1081893,1088086,1089447,1087511,1083147,1080036,1082299,1090174,1096502,1094466,1085129,1074382,1067575,1065924,1068810,1075190,1082100,1085435,1082511,1073345,1060266,1048172,1038857,1028238,1011736,994138,986144,982629,978317,975490,966225,954017,945088,935668,925851,915736,905423,895020,884544,873934,863178,852468,842022,831874,821984,812285,802740,793376,784168,775114,766219
29,190233,195919,201603,207290,212953,218676,225546,232477,239328,246492,252578,257922,263058,268393,274106,280521,287774,295735,304480,313913,323546,332669,342211,353096,363189,371987,380606,388865,396595,403668,413059,427440,445402,467303,489725,509022,527379,547062,568304,589873,610922,631337,651790,671940,690239,706832,723651,740880,756926,770890,783279,794078,802353,806204,804221,796920,788297,783605,786547,797637,815037,838948,868003,899377,929600,955214,977001,997023,1017020,1038600,1059271,1073439,1080785,1083353,1081472,1076945,1073502,1075340,1082782,1088778,1086590,1077285,1066699,1060129,1058757,1061931,1068568,1075665,1079093,1076162,1066908,1053697,1041450,1031997,1021308,1004852,987384,979527,976179,972081,969473,960446,948438,939612,930216,920359,910167,899770,889304,878802,868215,857533,846940,836646,826670,816952,807410,797989,788707,779539,770490
30,182944,188510,194204,199931,205694,211420,217146,223984,230888,237704,244828,250913,256266,261417,266736,272417,278808,286010,293908,302578,311936,321540,330651,340157,350957,361017,369843,378397,386528,394171,401168,410460,424757,442681,464535,486761,505847,524042,543589,564747,586294,607337,627728,648153,668234,686459,702880,719259,735514,750082,763242,775976,787157,795193,798440,796378,790166,783026,780653,785395,795993,812715,835939,864219,894742,923642,948302,969818,990149,1010174,1030952,1051010,1066316,1074933,1077533,1075466,1070600,1066751,1068184,1075281,1081067,1078861,1069714,1059404,1053160,1052122,1055591,1062431,1069608,1072993,1069931,1060508,1047137,1034757,1025218,1014530,998192,980925,973268,970134,966271,963868,955027,943141,934335,924893,914951,904668,894202,883706,873223,862708,852144,841707,831588,821789,812232,802816,793476,784232,775066
31,176019,181256,186832,192570,198371,204195,209926,215628,222437,229303,236080,243196,249286,254652,259788,265077,270741,277089,284237,292071,300674,310009,319604,328680,338104,348867,358957,367715,376148,384196,391749,398675,407919,422206,440110,461787,483801,502737,520825,540308,561445,582986,604013,624382,644764,664800,682894,698948,714476,729433,743272,756700,769763,780710,788173,791327,790208,785312,780354,779682,783909,793833,809916,832416,859885,889162,917123,941484,963262,983605,1002856,1022975,1044153,1060752,1069371,1071756,1069326,1064049,1059824,1060951,1067831,1073547,1071456,1062583,1052637,1046773,1046068,1049770,1056699,1063816,1067031,1063756,1054139,1040631,1028176,1018624,1008015,991870,974865,967454,964554,960908,958659,949925,938076,929217,919682,909642,899284,888784,878305,867893,857496,847089,836830,826893,817256,807825,798490,789186,779941
